CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/15/2019,14:20,BROOKLYN,11210,40.619118,-73.94348,"(40.619118, -73.94348)",,,1342      EAST 32 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4115849,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
05/20/2013,14:10,,,40.8474611,-73.944234,"(40.8474611, -73.944234)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,2873197,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
04/17/2013,15:45,MANHATTAN,10002,40.7216331,-73.9935279,"(40.7216331, -73.9935279)",BOWERY                          ,RIVINGTON STREET                ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,7206,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
02/21/2021,0:20,,,40.817593,-73.95319,"(40.817593, -73.95319)",AMSTERDAM AVENUE                ,,,1,0,1,0,0,0,0,0,Unspecified,Unspecified,,,,4394887,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/22/2016,11:10,QUEENS,11415,40.708603,-73.83067,"(40.708603, -73.83067)",GRENFELL STREET                 ,LEFFERTS BOULEVARD,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3587023,Sedan,Sedan,,,
10/31/2018,11:55,,,40.87367,-73.879234,"(40.87367, -73.879234)",BAINBRIDGE AVENUE               ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4012601,Sedan,Sedan,,,
05/28/2017,3:25,QUEENS,11422,40.665257,-73.739555,"(40.665257, -73.739555)",SOUTH CONDUIT AVENUE            ,BROOKVILLE BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3679121,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/04/2014,14:00,,,,,,WESTCHESTER AVENUE              ,HUTCHINSON RIVER PARKWAY        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1033915,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
06/24/2021,23:45,,,,,,FDR DRIVE,,,1,0,1,0,0,0,0,0,Unspecified,,,,,4430600,Sedan,,,,
02/10/2014,11:13,,,40.7324547,-73.7654563,"(40.7324547, -73.7654563)",,,,0,0,0,0,0,0,0,0,Obstruction/Debris,Obstruction/Debris,,,,3080643,VAN,SPORT UTILITY / STATION WAGON,,,
06/12/2021,2:30,,,40.844982,-73.92067,"(40.844982, -73.92067)",CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4427014,Sedan,Carry All,,,
03/02/2017,11:00,,,40.751675,-73.96488,"(40.751675, -73.96488)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3624890,Sedan,Sedan,,,
